,Unnamed: 0,Star_name,Distance,Mass,Radius
248,11,2MASSW J0045214+163445,57.0,1.62,
249,211,WISE 0247+3725,57.1,,2010.0
250,234,WISE 0528-3308,57.4,,2010.0
251,201,WISE 0138-0322,57.7,,2010.0
252,239,WISE 0611-0410,57.7,,2010.0
253,271,WISE 1122+2550,57.7,,2010.0
254,205,WISE 0206+2640,58.4,,2010.0
255,330,WISE 2213+0911,58.7,,2010.0
256,39,SDSS J032553.17+042540.1,59.0,0.95,
257,96,2MASS J09490860-1545485 [de],59.0,0.96,2005.0
258,335,WISE 2239+1617,59.7,,2010.0
259,105,Luhman 16B,6.516,1.02,2013.0
260,106,Luhman 16A,6.516,1.01,2013.0
261,74,2MASS J07075327-4900503,60.0,1.03,
262,81,2MASS J07522390+1612157,60.0,68.0,
263,101,2MASS J10224821+5825453 [de],60.0,1.41,2008.0
264,160,LSPM J1658+7027 [de],60.0,1.04,2000.0
265,286,WISE 1436-1814,60.0,,2010.0
266,302,WISE 1711+3500,60.3,,2010.0
267,337,WISE 2301+0216,60.7,,2010.0
268,127,Kelu-1A,61.0,0.98,1997.0
269,128,Kelu-1B,61.0,0.98,1997.0
270,204,WISE 0150+3827,61.3,,2010.0
271,328,WISE 2157+2659,61.6,,2010.0
272,172,2MASSI J2104149-103736,62.0,1.02,
273,304,WISE 1721+1117,62.3,,2010.0
274,196,WISE 0049+0441,62.6,,2010.0
275,192,WISE 0032-4946,62.9,,2010.0
276,111,SDSS J111010.01+011613.1,63.0,1.24,
277,258,WISE 0812+4021,63.6,,2010.0
278,60,2MASS J05012406-0010452 [de],64.0,1.38,2008.0
279,182,2MASS J22373255+3922398,64.0,1.04,
280,241,WISE 0612-3036,64.9,,2010.0
281,264,WISE 0929+0409,64.9,,2010.0
282,22,DENIS-P J020529.0−115925A,65.0,,1997.0
283,23,DENIS-P J020529.0−115925B,65.0,,1997.0
284,24,DENIS-P J020529.0−115925C,65.0,,1997.0
285,71,2MASS J06411840-4322329 [de],65.0,1.01,2008.0
286,130,SDSSp J132629.82-003831.5 [de],65.0,0.97,2000.0
287,169,SDSS J204749.61-071818.3,65.0,0.96,
288,122,DENIS-P J1228.2-1547,66.0,,1999.0
289,227,WISE 0413-4750,66.2,,2010.0
290,83,DENIS J082303.1−491201A,67.0,,2006.0
291,84,DENIS J082303.1−491201B,67.0,,2006.0
292,150,2MASSI J1526140+204341 [de],67.0,0.98,2000.0
293,186,2MASS J23515044-2537367,67.0,1.16,
294,199,WISE 0123+4142,67.2,,2010.0
295,245,WISE 0625+5646,67.2,,2010.0
296,153,2MASSW J1552591+294849 [de],68.0,1.43,2003.0
297,260,WISE 0821+1443,68.2,,2010.0
298,58,2MASS J04510093-3402150 [de],69.0,72.0,2003.0
299,68,WISEP J061135.13-041024.0A,69.0,,2014.0
300,69,WISEP J061135.13-041024.0B,69.0,,2014.0
301,228,WISE 0448-1935,69.8,,2010.0
302,17,2MASSI J0103320+193536,70.0,0.98,
303,21,SDSS J015141.69+124429.6,70.0,0.97,
304,341,WISE 2327-2730,70.8,,2010.0
305,144,CFBDS J150411+102717,71.0,0.94,
306,191,WISE 0031-3840,71.8,,2010.0
307,138,LSPM J1440+1339,72.0,1.19,
308,265,WISE 0952+1955,72.1,,2010.0
309,261,WISE 0836-1859,72.4,,2010.0
310,289,WISE 1517+0529,72.4,,2010.0
311,303,WISE 1717+6129,72.7,,2010.0
312,61,2MASS J05160945-0445499 [de],73.0,0.97,2003.0
313,206,WISE 0221+3842,73.1,,2010.0
314,187,2MASSI J2356547-155310,74.0,1.09,
315,311,WISE 1809+3838,74.4,,2010.0
316,212,WISE 0305+3954,75.0,,2010.0
317,88,SDSS J083048.80+012831.1 [de],77.0,0.96,2004.0
318,200,WISE 0135+1715,77.3,,2010.0
319,251,WISE 0733+7544,78.3,,2010.0
320,162,2MASSW J1728114+394859,79.0,,
321,40,2MASS J03264225-2102057 [de],80.0,1.3,2003.0
322,173,PSO J318.5−22,80.0,1.53,2013.0
323,63,2MASS 0532+8246,81.0,,2018.0
324,56,2MASS J04433764+0002040,82.0,1.78,
325,213,WISE 0307+2904,82.8,,2010.0
